bcl::storage::Table<double>   subunits nr_coordinates   rgyr_sqr 
2NQW                                 1             87    144.372 
2NR5                                 8            489    820.014 
2NR7                                 1            194     324.35 
2NRK                                 2            330    542.696 
2NRL                                 1            145    223.309 
2NRR                                 1            139    197.315 
2NS0                                 1             85    147.547 
2NS9                                 2            304    593.579 
2NSA                                 1            167    368.593 
2NSZ                                 1            129    194.624 
2NT0                                 1            497     514.95 
2NTE                                 1            210    358.043 
2NTP                                 1            342    405.434 
2NUH                                 1            104     206.94 
2NUJ                                 4            636    652.321 
2NVH                                 1            152    217.382 
2NVO                                 1            496    650.464 
2NW2                                 2            438    566.502 
2NW8                                 4           1060    830.357 
2NWF                                 1            141     195.32 
2NWH                                 1            307      371.9 
2NX2                                 1            178     240.19 
2NX4                                 2            388    493.241 
2NXF                                 1            314    333.368 
2NXV                                 2            498    548.213 
2NY1                                 4            923    1535.71 
2NYI                                 2            341    430.342 
2NZ7                                 2            191    347.406 
2NZC                                 4            323    367.328 
2NZX                                 2            678    939.192 
2O0A                                 1            269     333.53 
2O0B                                 1            424    449.771 
2O0M                                 1            247     299.72 
2O0Q                                 1            114    177.672 
2O1K                                 4            172    403.973 
2O1M                                 1            232    354.442 
2O1Q                                 4            576    558.166 
2O2K                                 2            665    809.796 
2O2X                                 1            209    262.929 
2O30                                 2            163    314.518 
2O34                                 1            249    314.808 
2O36                                 1            654    699.731 
2O38                                 2            179     295.67 
2O4A                                 1             84    158.441 
2O4T                                 2            180    230.398 
2O4U                                 2            662    844.538 
2O5H                                 2            246    352.067 
2O62                                 1            269     340.86 
2O6F                                 2            314    469.193 
2O6P                                 1            123    229.138 
2O6S                                 1            208    322.103 
2O70                                 2            329    432.689 
2O71                                 1             91    151.575 
2O7A                                 1            115    179.773 
2O7I                                 1            582      565.9 
2O8P                                 2            440     945.92 
2O8Q                                 4            488     529.83 
2O90                                 8            920    772.188 
2O95                                 2            358    442.015 
2O99                                 2            356    541.109 
2O9C                                 2            638    706.567 
2O9S                                 1             67    117.368 
2O9U                                 1             95    190.865 
2OAA                                 1            247    365.878 
2OAF                                 4            574     546.21 
2OB3                                 2            660    734.989 
2OB5                                 2            302    486.697 
2OBP                                 1             81    142.792 
2OC5                                 1            222    294.914 
2OCT                                 4            384    601.969 
2OD4                                 2            202     292.94 
2OD5                                 1             91    204.475 
2OD6                                 2            218    326.214 
2ODA                                 2            387    578.536 
2ODF                                 2            502    673.021 
2ODI                                 1            238    360.136 
2ODK                                 2            101    155.359 
2OEB                                 1            152    214.452 
2OEE                                 2            184    458.697 
2OEZ                                 2            484    761.054 
2OF3                                 1            266    422.771 
2OFC                                 2            282    338.803 
2OFK                                 1            182    267.085 
2OFZ                                 1            132    241.666 
2OG4                                 1            249    328.625 
2OGF                                 4            486    489.794 
2OGX                                 6           1542    1034.03 
2OH3                                 2            298    435.093 
2OH5                                12           2964    2097.89 
2OHW                                 1            128    185.443 
2OIT                                 1            434    461.734 
2OIW                                 4            529    538.105 
2OIX                                 1            178    238.575 
2OIZ                                 4            951     908.97 
2OJ5                                 3            487    501.157 
2OJP                                 2            582    600.001 
2OKF                                 2            258    379.109 
2OKM                                 1            146    237.731 
2OKT                                 1            342    434.117 
2OKU                                 2            238    382.131 
2OLM                                 2            266    553.739 
2OLR                                 1            535    537.373 
2OLT                                 6           1284    1413.08 
2OML                                 1            181     283.62 
2OMZ                                 2            569    862.836 
2OO3                                 1            267     306.55 
2OOA                                 1             42    82.3378 
2OOK                                 2            247    304.507 
2OPC                                 1            115    200.767 
2OPL                                 2            363    417.224 
2OQ0                                 1            189    302.571 
2OQB                                 2            214    340.256 
2OQQ                                 2             84    348.113 
2OQZ                                 1            214    285.908 
2ORW                                 4            688    647.763 
2OS0                                 1            179    255.903 
2OSO                                 2            314    418.456 
2OSX                                 1            449     470.31 
2OU1                                 2            143    1035.42 
2OU3                                 2            320    409.318 
2OU5                                 2            350    428.147 
2OU6                                 2            366    412.046 
2OUF                                 2            160    254.538 
2OV0                                 1            105    158.911 
2OVG                                 2            116    303.949 
2OVJ                                 1            201    272.069 
2OVS                                 2            236    326.499 
2OWA                                 1            128    200.017 
2OX6                                 2            324     464.17 
2OX7                                 4            574    811.206 
2OXG                                 2            220    314.785 
2OXL                                 2            124    200.336 
2OXO                                 1             93     165.98 
2OY9                                 2            167    303.114 
2OYA                                 1            102    191.733 
2OYO                                 6           1116    919.993 
2OYZ                                 2            188    283.719 
2OZJ                                 2            220    294.297 
2OZN                                 2            264    601.914 
2OZT                                 1            321    412.049 
2P02                                 2            760    584.621 
2P08                                 2            217    303.884 
2P09                                 2            138    310.773 
2P0A                                 4           1192    1020.34 
2P0N                                 1            161    307.394 
2P0S                                 2            252     460.77 
2P0W                                 2            334    511.217 
2P12                                 2            331    522.961 
2P14                                 1            186    247.226 
2P17                                 1            249    306.512 
2P1M                                 2            657    782.973 
2P26                                 1            280    740.525 
2P2S                                 2            666    787.072 
2P38                                 4            620    619.895 
2P3P                                 1            197    375.637 
2P3Y                                 2            922    1056.67 
2P45                                 2            245    481.392 
2P4F                                 1            191    297.241 
2P4H                                 1            310    370.867 
2P4O                                 1            302    312.232 
2P4P                                 2            161    293.383 
2P51                                 1            255    304.455 
2P58                                 3            204    326.876 
2P5K                                 1             63    127.117 
2P65                                 1            185     249.73 
2P67                                 2            604    817.696 
2P6P                                 2            758    742.083 
2P6V                                 6            582    773.759 
2P6W                                 1            206    254.812 
2P8G                                 2            324     412.16 
2P8I                                 2            234    299.578 
2P97                                 2            402    487.921 
2P9B                                 1            407    430.199 
2P9W                                 1            333    340.151 
2P9X                                 4            389     489.33 
2PA7                                 2            269    392.239 
2PA8                                 2            356    643.239 
2PAG                                 1            132    191.284 
2PBD                                 3            526    643.628 
2PBI                                 2            760    872.845 
2PC1                                 1            173    234.671 
2PC8                                 1            394    408.889 
2PD1                                 2            204    279.088 
2PEF                                 1            366    438.392 
2PEQ                                 2            218    381.551 
2PFI                                 2            293    483.293 
2PFZ                                 1            301    358.021 
2PGE                                 1            356    444.191 
2PGN                                 4           2348     1416.4 
2PH0                                 2            323    422.671 
2PHN                                 2            497     505.27 
2PIE                                 2            139    223.776 
2PK8                                 2            188    307.764 
2PKE                                 2            461    589.256 
2PKF                                 2            664     902.43 
2PKH                                 4            566    656.604 
2PMA                                 1            129     206.77 
2PMR                                 2            152    223.345 
2PMU                                 6            585    947.251 
2PN6                                 8           1200    1279.56 
2PND                                 1            119    217.833 
2PNE                                 1             81    176.004 
2PNQ                                 1            382    445.101 
2PNW                                 1            354    455.512 
2POF                                 1            220    275.754 
2PPN                                 1            107    179.049 
2PPQ                                 2            620    836.096 
2PPV                                 2            650    1031.23 
2PPX                                 4            248    347.479 
2PQ7                                 2            348    765.912 
2PQ8                                 1            260    388.281 
2PQR                                 2            138    206.067 
2PQX                                 1            245    303.403 
2PR7                                 1            137    185.625 
2PRS                                 1            263    360.009 
2PRV                                 2            305    395.742 
2PRX                                 2            228    285.053 
2PS1                                 2            448    519.241 
2PSP                                 1            106    239.689 
2PST                                 1             61    158.239 
2PTH                                 1            193    241.614 
2PTM                                 4            768    847.578 
2PTR                                 4           1820    1305.23 
2PTT                                 2            211    348.795 
2PU3                                 1            207    272.197 
2PUY                                 3            129    256.811 
2PV2                                 3            218    326.876 
2PV4                                 1            145    259.796 
2PVB                                 1            107    164.479 
2PVQ                                 2            402    418.667 
2PW0                                 2            726    956.091 
2PW8                                 3            340    377.942 
2PWW                                 1            115    218.443 
2PXX                                 1            213    269.633 
2PY5                                 1            564    680.985 
2PYQ                                 1            114    184.907 
2PYW                                 2            828    878.847 
2PYX                                 1            526     564.14 
2PZ4                                 1            239    535.028 
2Q03                                 2            264    372.697 
2Q09                                 1            402    454.094 
2Q0S                                 8           1712    1206.31 
2Q0Z                                 1            290    468.232 
2Q12                                 2            484    1450.02 
2Q2G                                 2            337    1015.17 
2Q35                                 3            729    729.682 
2Q3T                                 2            242    327.763 
2Q40                                 1            343    403.628 
2Q43                                 1            375    506.117 
2Q46                                 1            253    322.017 
2Q48                                 2            242    299.398 
2Q4F                                 1            140    290.577 
2Q4M                                 1            162    217.764 
2Q4N                                 2            306    386.911 
2Q4Z                                 2            614    710.325 
2Q5C                                 1            187     296.26 
2Q66                                 1            519    588.768 
2Q6K                                 3            771    711.932 
2Q6Q                                 2            127    767.951 
2Q7S                                 1            271     338.33 
2Q7W                                 2            756    755.612 
2Q82                                 2            228    436.075 
2Q88                                 1            257    335.965 
2Q8K                                 1            354    398.797 
2Q8P                                 1            258    363.047 
2Q9F                                 1            433    466.044 
2Q9K                                 2            294    367.232 
2Q9O                                 2           1116    1073.25 
2Q9R                                 2            390    579.226 
2QAC                                 2            159    289.063 
2QAH                                 1            294    324.241 
2QB7                                 1            393    475.533 
2QC1                                 2            286    509.918 
2QCK                                 2            318    364.022 
2QCP                                 1             80    149.083 
2QDJ                                 1            259    462.384 
2QDX                                 1            257    321.225 
2QE8                                 2            672    800.786 
2QED                                 1            252    318.294 
2QEE                                 3           1247    1001.21 
2QEU                                 6            794     679.46 
2QF4                                 1            170    253.748 
2QFA                                 3            244    544.087 
2QFE                                 1            139     218.48 
2QFF                                 1             74    160.029 
2QGU                                 1            179    287.597 
2QGY                                 2            751    692.335 
2QH9                                 2            351    492.504 
2QHF                                 4           1568    1009.26 
2QHK                                 2            296     419.75 
2QHO                                 2            119    227.731 
2QHP                                 1            288    322.714 
2QHQ                                 2            242    348.971 
2QIA                                 3            786    710.791 
2QIH                                 3            408    3339.23 
2QIM                                 1            157    244.888 
2QIP                                 2            324    432.797 
2QIS                                 2            680    703.299 
2QIY                                 4            317    380.251 
2QJL                                 1             99    163.043 
2QJV                                 6           1578    1164.16 
2QJW                                 2            352    481.684 
2QJZ                                 1            121    179.277 
2QK1                                 1            247    418.625 
2QKD                                 1            384    1038.77 
2QKF                                 4           1011    944.935 
2QKH                                 2            126    298.718 
2QKP                                 2            276    360.199 
2QL8                                 2            282    340.914 
2QLT                                 1            251    316.995 
2QLW                                 2            216    329.179 
2QMA                                 2            922    761.823 
2QMC                                 4           1061    1018.68 
2QML                                 1            193    257.997 
2QMM                                 2            390    425.495 
2QNG                                 1            170    240.937 
2QNK                                 1            286    392.543 
2QNL                                 2            324    424.119 
2QOL                                 1            273    392.404 
2QOR                                 1            196    271.328 
2QP2                                 1            498    797.232 
2QPX                                 3           1128    919.567 
2QQ4                                 5            683    770.522 
2QQ9                                 2            424    908.326 
2QR6                                 4           1484    1190.92 
2QRL                                 1            371    498.425 
2QRU                                 1            272    317.389 
2QSA                                 1            101    216.542 
2QSB                                 1             85    152.329 
2QSI                                 2            224    403.883 
2QSK                                 1             95    208.937 
2QSQ                                 2            220    369.498 
2QSW                                 2            180    282.829 
2QSX                                 2            365    425.544 
2QT1                                 1            189    311.541 
2QT7                                 4            360    615.175 
2QTC                                 2           1602    1106.82 
2QTD                                 1            104    162.472 
2QTW                                 1             92    172.689 
2QUD                                 2            242    350.763 
2QUO                                 1            123    209.213 
2QUP                                 1            119    278.543 
2QV5                                 1            246    291.105 
2QV6                                 4           1008    819.648 
2QV8                                 1            144    228.419 
2QVO                                 1             87    158.192 
2QW5                                 4           1304    1110.83 
2QWO                                 2            479    623.573 
2QWU                                 1            207    291.101 
2QWX                                 2            460    464.851 
2QXF                                 1            433    574.574 
2QY1                                 1            330    348.146 
2QY6                                 2            488    640.825 
2QYC                                 2            204    293.939 
2QYW                                 1             96    269.481 
2QZC                                 2            413    591.496 
2QZQ                                 1            152    236.676 
2R01                                 2            390    440.521 
2R0B                                 1            151    207.219 
2R0X                                 2            312     353.24 
2R11                                 2            570    675.437 
2R16                                 1            175    225.334 
2R1I                                 2            312    432.185 
2R25                                 2            299    408.496 
2R2A                                 1            191     276.69 
2R2C                                 2            230    365.925 
2R2Y                                 1            109    185.376 
2R2Z                                 1             84    142.405 
2R31                                 1            236    424.548 
2R47                                 2            310     367.93 
2R4F                                 4           1623    1145.83 
2R4G                                 1            250    528.185 
2R4I                                 2            244    325.947 
2R4Q                                 1            102    148.648 
2R5O                                 2            332    557.157 
2R5U                                 6            847    1868.27 
2R6J                                 1            310    383.894 
2R6O                                 2            500    735.092 
2R6U                                 2            256    296.441 
2R6Z                                 2            467    610.113 
2R7D                                 1            461    587.043 
2R7G                                 5            702    897.044 
2R85                                 3            990     846.77 
2R8E                                 8           1416    1009.62 
2R9F                                 1            322     428.37 
2RA8                                 2            700     750.95 
2RA9                                 1            127    236.127 
2RB7                                 2            720    1285.11 
2RB8                                 1             93    181.778 
2RBB                                 2            256    305.334 
2RBD                                 4            630    603.804 
2RBG                                 2            248    423.752 
2RBK                                 1            261    315.827 
2RC3                                 2            254    350.336 
2RDC                                 2            268      423.3 
2RDE                                 2            449    586.074 
2RDG                                 1            192    307.198 
2RDM                                 6            738    676.058 
2RDQ                                 1            265    315.924 
2RDX                                 8           2943    1663.82 
2REE                                 1            199    270.532 
2RER                                 1            155    262.232 
2REU                                 1            236     426.11 
2RFF                                 1            111    204.547 
2RFQ                                 4           1532    1222.52 
2RG4                                 4            824    811.889 
2RG8                                 1            150    212.103 
2RGI                                 2            185    270.569 
2RH0                                 2            265    377.622 
2RH2                                 4            228    287.043 
2RH3                                 1            121    204.772 
2RHF                                 1             76    129.259 
2RIJ                                 6           2286    2774.79 
2RIL                                 2            190    292.538 
2RIN                                 1            288    397.946 
2RIQ                                 2            270    731.832 
2RIV                                 1            339    453.342 
2RJ2                                 1            185    302.784 
2RJI                                 1             84    136.678 
2RK3                                 2            374    410.126 
2RK9                                 2            233    317.355 
2RKH                                 2            328    476.388 
2RKL                                 2             96     223.34 
2RKN                                 1             77    130.136 
2RKQ                                 1            169    207.993 
2RKV                                 1            443    471.202 
2RL8                                 2            299    376.651 
2RLD                                 5            558    600.902 
2SAK                                 2            242    390.606 
2SIC                                 4            764    1520.38 
2SPC                                 2            214    1012.13 
2SQC                                 1            623      593.7 
2TGI                                 2            224    410.056 
2TNF                                 3            444    442.131 
2TPS                                 1            226    263.042 
2UUR                                 1            210    263.236 
2UUU                                 2           1090    1089.06 
2UUY                                 2            275    331.053 
2UV4                                 2            286    371.598 
2UVJ                                 1            404    461.708 
2UVK                                 2            691      751.8 
2UVO                                 2            341    418.313 
2UVP                                 4            723    776.238 
2UW1                                 2            665    657.219 
2UWA                                 1            274    325.142 
2UWJ                                 6            430    522.922 
2UXQ                                 2            803    765.406 
2UXY                                 6           2040    1154.67 
2UY1                                 2            822    1528.59 
2UY2                                 1            287    319.906 
2UYO                                 1            275    330.671 
2UYT                                 1            479    471.647 
2UYZ                                 2            234    382.461 
2UZ1                                 4           2218    1334.38 
2UZC                                 1             87    142.734 
2V05                                 1            298    1058.94 
2V0P                                 2            433    762.614 
2V1M                                 1            163     213.67 
2V1T                                 2             85    178.108 
2V26                                 1            747    845.184 
2V2F                                 2            381    420.494 
2V2G                                 2            438    489.536 
2V2P                                24           4080     2821.3 
2V33                                 1             91    168.182 
2V3G                                 1            273    328.754 
2V3I                                 1            434    431.312 
2V3K                                 1            218     293.82 
2V3S                                 2            101    168.591 
2V4X                                 1            131    212.618 
2V6V                                 1            135    258.876 
2V6X                                 2            123    236.744 
2V75                                 1             89    149.352 
2V76                                 1             99    152.603 
2V78                                 6           1866    1287.83 
2V79                                 4            464    501.424 
2V7F                                 1            139    263.348 
2V7K                                 1            344    461.093 
2V84                                 1            319     389.32 
2V89                                 2             88    168.956 
2V8H                                 2            862    1120.22 
2V8I                                 1            543    523.143 
2V8T                                 6           1812    1050.87 
2V94                                 1             96    187.078 
2V9K                                 1            467    1140.27 
2V9L                                 4           1096    888.481 
2V9V                                 1            135    293.525 
2VB1                                 1            129     188.91 
2VBK                                 3           1533    1268.32 
2VBU                                 1            131    203.939 
2VC8                                 1             72     139.88 
2VCH                                 1            462    472.492 
2VCL                                 1            205    272.114 
2VDJ                                 2            536    650.742 
2VE8                                 1             67    128.307 
2VEB                                 2            380     426.97 
2VEC                                 1            227    300.531 
2VES                                 3            881    1079.61 
2VFK                                 1            205    301.439 
2VFO                                 3           1665    1348.63 
2VFR                                 1            418    436.892 
2VFX                                 1            203    339.725 
2VG0                                 2            454    544.364 
2VGO                                 2            312    411.465 
2VH3                                 2            221    362.748 
2VHA                                 2            552     827.43 
2VHJ                                 6           1728    1361.92 
2VHK                                 1            206    261.704 
2VJI                                 3           1794    1337.03 
2VK2                                 1            296    383.865 
2VK8                                 2           1124    947.746 
2VKJ                                 2            212    429.621 
2VLA                                 1            280    380.192 
2VLG                                 2            194    355.967 
2VLI                                 2            328    523.637 
2VLQ                                 2            218     352.42 
2VN6                                 2            215    347.343 
2VNG                                 1            171    229.131 
2VO4                                 2            438    484.102 
2VOK                                 2            371    514.223 
2VOV                                 1            289    345.249 
2VPA                                 2            408    601.602 
2VPB                                 2             92    192.601 
2VPN                                 1            306    361.779 
2VPT                                 2            402    482.235 
2VQ2                                 2            440     473.73 
2VQ4                                 1            106    188.824 
2VQG                                 1             76    176.016 
2VQP                                 1            254    383.382 
2VRO                                 2           1048    930.478 
2VRS                                 3            620    1396.89 
2VRW                                 2            544    731.444 
2VS0                                 2            167    375.498 
2VSM                                 2            550    566.943 
2VTC                                 1            228    287.849 
2VTW                                 3            615    581.761 
2VUW                                 1            329    404.655 
2VV6                                 2            212    293.857 
2VVE                                 4           1008    1359.99 
2VVP                                 2            314    322.127 
2VWS                                 6           1536    1035.99 
2VXG                                 1            131    213.096 
2VXN                                 2            498    603.168 
2VXT                                 3            576    934.382 
2VXZ                                 1            153     279.85 
2VY8                                 1            149    243.554 
2VZC                                 1            127     198.38 
2VZP                                 1            126    186.346 
2W08                                 5           1020    1223.64 
2W0G                                 1            129    231.845 
2W15                                 1            202    260.451 
2W18                                 1            306    369.715 
2W1J                                 1            195    246.321 
2W1R                                 2            234     335.09 
2W1S                                 1            139    203.783 
2W1Z                                 1            354    433.945 
2W2R                                 1            184    268.149 
2W31                                 2            304    358.218 
2W39                                 1            298    332.241 
2W3G                                 2            295    412.778 
2W3P                                 2           1095    915.405 
2W3Q                                 2            458    548.209 
2W3X                                 4            570    566.513 
2W3Y                                 1            267    342.393 
2W40                                 2           1003     1196.9 
2W42                                 1            395    484.061 
2W50                                 1             97    159.332 
2W5E                                 6            972    850.908 
2W5N                                 1            365    381.911 
2W5Q                                 1            424    428.708 
2W61                                 1            470    596.823 
2W6A                                 2            117    636.657 
2W6K                                 1            142    221.198 
2W7A                                 1            100    180.457 
2W7N                                 2            189    466.863 
2W7S                                 1            196      230.2 
2W7Z                                 2            402    1157.29 
2W83                                 5            613    1095.13 
2W86                                 1            147    323.981 
2W8T                                 2            794    676.911 
2W8X                                 2            138    184.331 
2W91                                 1            635    664.514 
2W9Y                                 1            135    234.823 
2WAG                                 2            434    506.704 
2WAO                                 1            325    384.873 
2WAW                                 1            198    247.292 
2WB0                                 1            314    496.191 
2WBF                                 1            265     335.92 
2WBM                                 1            234    587.704 
2WBN                                 1            178    255.034 
2WCJ                                 1            141    196.009 
2WCR                                 2            293    428.606 
2WCW                                 2            248    378.718 
2WDC                                 1            542    511.438 
2WDS                                 3            369    407.448 
2WE3                                 1            240    315.202 
2WE5                                 2            618    631.028 
2WEW                                 1            170    264.877 
2WF7                                 1            218    290.139 
2WFI                                 1            172    213.673 
2WFO                                 1            153    212.975 
2WFP                                 1            389    493.915 
2WFW                                 6            746    741.265 
2WG7                                 1            121    209.951 
2WGK                                 2            735    764.235 
2WH6                                 2            179    226.121 
2WH7                                 3            456    569.333 
2WHL                                 1            294    296.703 
2WHM                                 1            376    381.217 
2WI8                                 2            566    588.774 
2WIY                                 1            394    441.718 
2WJ5                                 1             96    362.728 
2WJ6                                 1            274     300.89 
2WJE                                 1            243    286.318 
2WJW                                 2            736     757.18 
2WK1                                 2            484      677.1 
2WKJ                                 4           1188    987.578 
2WKK                                 4            600     675.48 
2WLG                                 3            630    667.058 
2WLU                                12           1992    1395.83 
2WLV                                 2            288    530.548 
2WN3                                 3            759    902.997 
2WN9                                 5           1053    929.226 
2WNF                                 1            272     328.62 
2WNH                                 4           1594    1346.58 
2WNK                                 1            223    500.212 
2WNP                                 1            217    270.986 
2WNV                                 3            391    370.239 
2WNX                                 2            314    518.471 
2WOL                                 1            553    578.397 
2WOY                                 1            333    702.598 
2WOZ                                 2            614     890.52 
2WQ4                                 3            395    388.126 
2WQI                                 4            177    287.613 
2WQK                                 4            992    865.075 
2WQP                                 2            696    977.792 
2WTM                                 2            492    560.204 
2WU9                                 2            805    656.393 
2WUJ                                 2            100    256.053 
2WUR                                 1            226    293.973 
2WUU                                 1            402    500.312 
2WUX                                12           2556    2470.92 
2WVV                                 1            446     538.97 
2WVX                                 1            736     694.08 
2WW5                                 1            431    1039.69 
2WWP                                 1            150    223.584 
2WWX                                 2            369    451.638 
2WX6                                 2            736    720.958 
2WY3                                 2            310    436.231 
2WY4                                 1            139    214.472 
2WYA                                 2            920    765.012 
2WYE                                 2            710    685.485 
2WYH                                 2           1796    1304.84 
2WZ1                                 2            393    453.707 
2WZB                                 1            405    473.454 
2WZO                                 2            292    488.421 
2X1D                                 1            354    367.599 
2X2O                                 1            117    166.217 
2X2S                                 2            300    394.682 
2X2U                                 2            472    609.814 
2X32                                 1            174    294.589 
2X49                                 1            333    448.359 
2X4D                                 2            483    638.427 
2X5X                                 2            684    1125.01 
2X5Y                                 1            171    241.029 
2X8X                                 1            235    807.977 
2XAU                                 1            745    756.352 
2XCB                                 2            141    238.244 
2XCY                                 1            386    383.896 
2XDH                                 3            414    903.857 
2YQC                                 1            480    587.609 
2YSK                                 2            288    401.521 
2YV4                                 1            102    147.662 
2YVI                                 1             89    155.074 
2YVQ                                 1            134    203.433 
2YVR                                 2             90    163.468 
2YVS                                 2            438     510.44 
2YVT                                 1            257    304.585 
2YWI                                 1            190    242.225 
2YWW                                 2            283    473.997 
2YXN                                 2            644     1050.6 
2YXO                                 4           1056    1020.22 
2YYK                                 4           1888    1312.49 
